,,,,,,Process name,Case2: STRAP,Landfill (film) - SI units,"market for ethylene glycol | ethylene glycol | APOS, S","market for nylon 6 | nylon 6 | APOS, S","market for polyethylene, linear low density, granulate | polyethylene, linear low density, granulate | APOS, S","market group for electricity, medium voltage | electricity, medium voltage | APOS, S","market group for heat, district or industrial, natural gas | heat, district or industrial, natural gas | APOS, S","market group for tap water | tap water | APOS, S",STRAP (SI units)
,,,,,,Product name,multilayer film,multilayer film waste,ethylene glycol,nylon 6,"polyethylene, linear low density, granulate","electricity, medium voltage","heat, district or industrial, natural gas",tap water,multilayer film waste
,,,,,,Multi-Output process,false,false,false,false,false,false,false,false,false
,,,,,,UUID,3a017a81-50f7-4a19-b71c-106d1b57115e,36e9153c-f08a-4edf-8aae-80eef6f20e3d,4052f31f-cd94-4b86-b075-210914586a0f,d16b5d3f-b5e4-45b6-9a04-23cde05220c0,ff4734a5-a4a6-4960-bfbd-febae7a64f65,759b89bd-3aa6-42ad-b767-5bb9ef5d331d,1125e767-7b5d-442e-81d6-9b0d3e1919ac,c5adb1fb-872e-4446-a3bb-c4b61aa4bd45,36e9153c-f08a-4edf-8aae-80eef6f20e3d
,,,,,,Infrastructure product,false,false,false,false,false,false,false,false,false
,,,,,,Process location,,,GLO,RoW,GLO,US,GLO,GLO,
,,,,,,Process category,Z10: REMADE LCA paper,Z2: REMADE,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics","201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics","201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics","351:Electric power generation, transmission and distribution",353:Steam and air conditioning supply,"360:Water collection, treatment and supply",Z2: REMADE
,,,,,,Process sub category,,,2011:Manufacture of basic chemicals,2013:Manufacture of plastics and synthetic rubber in primary forms,2013:Manufacture of plastics and synthetic rubber in primary forms,"3510:Electric power generation, transmission and distribution",3530:Steam and air conditioning supply,"3600:Water collection, treatment and supply",
,,,,,,Product/Service unit,,,,,,,,,
UUID,Category,Sub category,Elementary flowname,Elementary flow location,Unit,,,,,,,,,,
d5649872-502b-4d23-b882-26d74a9fc4b4,Emission to air,high population density,2-Methyl pentane,,kg,,,2.51036E-12,1.42703E-09,1.9029E-11,9.28344E-10,3.86771E-11,3.66265E-11,2.87434E-13,
e2d860e3-1038-4386-a5f1-25ad75d18bbd,Emission to air,high population density,2-Methyl-1-propanol,,kg,,,4.3869E-14,1.08358E-11,7.43251E-13,6.33655E-12,4.56093E-12,1.53698E-14,8.00831E-15,
76e532b3-25c7-487e-894c-5bf306cdd012,Emission to air,low population density,2-Methyl-1-propanol,,kg,,,7.51152E-13,2.41501E-10,5.1312E-12,1.07811E-10,7.73995E-10,2.09281E-13,3.14878E-13,
79240a49-80cf-4be4-b5c2-bfdd3f4aa249,Emission to water,surface water,2-Methyl-1-propanol,,kg,,,1.64714E-13,4.51129E-11,2.18975E-12,2.37374E-11,7.21839E-11,5.34451E-14,4.41325E-14,
79a87f98-0b00-4e7e-86f8-70667307f696,Emission to air,high population density,2-Methyl-2-butene,,kg,,,4.78884E-17,1.85518E-14,4.70609E-16,1.36357E-14,2.0807E-14,2.57584E-17,1.25958E-17,
2df5a2fe-1ab2-48e7-a9a6-1085703b17be,Emission to water,surface water,2-Methyl-2-butene,,kg,,,1.14934E-16,4.45251E-14,1.12948E-15,3.27263E-14,4.99375E-14,6.1821E-17,3.02303E-17,
90d374f1-b739-45b2-a734-d6bdd8c8dc9c,Emission to air,high population density,2-Nitrobenzoic acid,,kg,,,2.06611E-14,4.43514E-12,4.34583E-13,2.41292E-12,6.46358E-13,5.16493E-15,3.99982E-15,
cbf58f64-9286-406f-8dcb-ef1d81eec980,Emission to air,high population density,2-Propanol,,kg,,,2.69851E-10,4.13732E-07,6.75348E-09,2.66449E-07,2.04122E-09,6.76412E-11,6.05074E-11,
ed1aff41-0bfc-48b8-8250-840c0a2f6961,Emission to air,low population density,2-Propanol,,kg,,,9.97903E-14,1.38306E-11,5.32878E-13,1.04156E-11,1.50583E-11,1.75596E-14,1.42064E-14,
479edec6-763c-49fc-83f8-49780f08cf29,Emission to air,unspecified,2-Propanol,,kg,,,6.25164E-09,9.82658E-08,1.45742E-08,4.41402E-05,2.98179E-08,7.70831E-10,4.26174E-10,
caeb15fa-9711-4d37-99a2-d12c7823b8bc,Emission to water,surface water,2-Propanol,,kg,,,7.7673E-13,1.46728E-10,1.90249E-11,8.30855E-11,1.79759E-11,1.61837E-13,1.40318E-13,
e92a1310-603c-4346-85b8-e4e3192cd75c,Emission to water,unspecified,2-Propanol,,kg,,,1.05787E-10,1.66222E-09,2.46607E-10,7.46922E-07,5.043E-10,1.30429E-11,7.21138E-12,
5bb486eb-29db-4b80-bb79-c7023c0d5756,Emission to water,surface water,3-Iodo-2-propynyl butylcarbamate,,kg,,,1.389E-14,4.46575E-12,9.48841E-14,1.9936E-12,1.43124E-11,3.86994E-15,5.82259E-15,
179c3a4c-4d0c-4928-b099-2652fac747cd,Emission to water,surface water,4-Methyl-2-pentanol,,kg,,,7.3834E-15,1.23518E-12,2.939E-13,1.189E-12,1.13193E-13,1.43975E-15,1.56295E-15,
9fbec2f4-6b42-4e63-9573-14e04befe20f,Emission to air,high population density,4-Methyl-2-pentanone,,kg,,,2.0867E-13,3.49089E-11,8.30649E-12,3.36039E-11,3.19789E-12,4.06904E-14,4.41726E-14,
6ed53433-96ff-402c-87d0-52b8271aadac,Emission to air,low population density,4-Methyl-2-pentanone,,kg,,,2.18085E-15,3.02258E-13,1.16457E-14,2.27625E-13,3.2909E-13,3.83753E-16,3.10472E-16,
1a19ad61-abd0-4d42-9828-8fae315c0b06,Emission to water,surface water,4-Methyl-2-pentanone,,kg,,,1.43154E-12,2.39487E-10,5.69853E-11,2.30534E-10,2.19386E-11,2.7915E-13,3.03039E-13,
f9d36529-abde-4ed2-a82c-d365ae2c713f,Emission to water,unspecified,4-Methyl-2-pentanone,,kg,,,1.01614E-12,3.18011E-10,7.03372E-12,2.75779E-10,7.0515E-10,2.78872E-11,3.36357E-13,
3166d308-cc57-4d31-b42e-63c7eada821f,Emission to soil,agricultural,Abamectin,,kg,,,3.84275E-14,1.3899E-11,3.32753E-13,8.30186E-12,1.45595E-11,2.63982E-14,9.40855E-15,
99c07b66-c039-4896-866d-06abdaa9d46a,Emission to air,high population density,Acenaphthene,,kg,,,4.82426E-21,1.63106E-18,3.12721E-20,6.83513E-19,5.64406E-18,1.15046E-21,2.20615E-21,
922a7ccf-3338-43ad-bd7e-77d51df051ab,Emission to air,low population density,Acenaphthene,,kg,,,7.28952E-14,2.45834E-11,4.9705E-13,1.07565E-11,1.77126E-11,2.90252E-13,1.55309E-14,
1f4afa32-a9a2-40da-8396-104452cb637f,Emission to air,unspecified,Acenaphthene,,kg,,,1.44306E-13,3.0278E-11,2.83069E-12,1.74324E-11,3.10903E-11,4.45087E-14,3.11646E-14,
a6ad3fc7-c019-454f-a899-43be7913a598,Emission to water,ocean,Acenaphthene,,kg,,,5.8567E-14,4.34622E-13,3.54634E-13,7.16675E-13,4.31743E-14,1.46434E-15,3.25019E-16,
5c238e5f-97c8-4837-8d67-48899ddd43be,Emission to water,surface water,Acenaphthene,,kg,,,1.3975E-12,3.33855E-11,1.00677E-11,2.943E-11,2.54623E-11,6.55728E-14,2.77744E-14,
63e76212-8549-11e0-9d78-0800200c9a66,Emission to air,unspecified,Acenaphthylene,,kg,,,8.17328E-14,,,,,,,
e0346157-1f0e-4bf9-b234-78fead761e18,Emission to air,unspecified,Acenaphthylene,,kg,,,,2.30116E-12,3.16065E-12,2.9434E-12,5.05928E-13,1.06844E-14,7.35413E-15,
9dc481e4-e4cd-4cb1-a03e-d539f774e958,Emission to water,ocean,Acenaphthylene,,kg,,,3.66279E-15,2.71813E-14,2.21789E-14,4.4821E-14,2.70013E-15,9.15798E-17,2.03267E-17,
ec4a104f-eab5-4a06-bd0a-e1c34d888718,Emission to water,surface water,Acenaphthylene,,kg,,,8.0537E-14,6.50339E-13,4.94647E-13,1.01347E-12,1.27208E-13,2.30097E-15,4.86898E-16,
63e76213-8549-11e0-9d78-0800200c9a66,Emission to air,low population density,Acephate,,kg,,,5.36817E-14,,,,,,,
73a06727-fec3-4d8d-8de5-ef1a0cc2c280,Emission to air,low population density,Acephate,,kg,,,,4.61952E-12,1.95534E-12,4.25296E-12,1.13624E-12,2.3697E-14,3.88961E-15,
cdcdbfc9-3d5f-4e78-8033-8dbecbb2cfec,Emission to soil,agricultural,Acephate,,kg,,,1.52234E-11,1.44585E-09,7.21521E-10,1.40461E-09,5.13355E-10,4.48125E-12,9.47253E-13,
5ad58fcc-e9ba-4155-a3c9-e4ffb3065a6f,Emission to air,high population density,Acetaldehyde,,kg,,,1.54589E-09,1.68906E-06,5.22487E-07,5.39781E-07,3.0376E-08,8.65784E-10,2.71667E-10,
fc9f9a81-c4b9-4dce-bc20-9f04e05ca2f1,Emission to air,low population density,Acetaldehyde,,kg,,,1.37185E-09,3.41384E-07,1.33426E-08,1.71729E-07,2.40598E-08,5.5623E-10,1.55236E-10,
e3e8f6a2-c45e-4685-9859-698b2eadaf5b,Emission to air,unspecified,Acetaldehyde,,kg,,,1.7177E-08,2.18489E-07,2.90768E-07,3.87334E-07,8.9562E-09,3.18614E-10,1.01467E-10,
7a65d41a-561b-4090-bd81-13672abce16f,Emission to water,surface water,Acetaldehyde,,kg,,,4.30407E-10,9.99428E-09,1.23998E-09,2.23502E-06,1.52666E-09,4.39767E-11,1.30295E-11,
